年龄段,报告国家,报告数,百分比,年龄段总报告数
75-84岁,IRELAND,10,0.02,54018
75-84岁,UY,10,0.02,54018
75-84岁,GT,10,0.02,54018
75-84岁,EG,9,0.02,54018
75-84岁,PA,8,0.01,54018
75-84岁,CY,7,0.01,54018
75-84岁,GREECE,7,0.01,54018
75-84岁,MY,7,0.01,54018
75-84岁,CHILE,7,0.01,54018
75-84岁,HK,6,0.01,54018
75-84岁,LU,6,0.01,54018
75-84岁,MALAYSIA,6,0.01,54018
75-84岁,BG,6,0.01,54018
75-84岁,DO,6,0.01,54018
75-84岁,EC,6,0.01,54018
75-84岁,PH,6,0.01,54018
75-84岁,LT,5,0.01,54018
75-84岁,SV,5,0.01,54018
75-84岁,VN,5,0.01,54018
75-84岁,SINGAPORE,5,0.01,54018
75-84岁,HUNGARY,5,0.01,54018
75-84岁,QA,4,0.01,54018
75-84岁,PHILIPPINES,4,0.01,54018
75-84岁,ECUADOR,4,0.01,54018
75-84岁,RS,4,0.01,54018
75-84岁,LV,3,0.01,54018
75-84岁,IS,3,0.01,54018
75-84岁,A1,3,0.01,54018
75-84岁,MT,3,0.01,54018
75-84岁,CZECH REPUBLIC,3,0.01,54018
75-84岁,THAILAND,3,0.01,54018
75-84岁,CROATIA (LOCAL NAME: HRVATSKA),3,0.01,54018
75-84岁,EE,3,0.01,54018
75-84岁,PK,3,0.01,54018
75-84岁,AE,2,0.0,54018
75-84岁,UZ,2,0.0,54018
75-84岁,SLOVENIA,2,0.0,54018
75-84岁,ROMANIA,2,0.0,54018
75-84岁,ID,2,0.0,54018
75-84岁,TURKEY,2,0.0,54018
75-84岁,ESTONIA,2,0.0,54018
75-84岁,PAKISTAN,2,0.0,54018
75-84岁,PUERTO RICO,2,0.0,54018
75-84岁,PERU,2,0.0,54018
75-84岁,NP,2,0.0,54018
75-84岁,POLAND,2,0.0,54018
75-84岁,RUSSIAN FEDERATION,2,0.0,54018
75-84岁,UM,2,0.0,54018
75-84岁,TT,2,0.0,54018
75-84岁,BB,1,0.0,54018
75-84岁,BI,1,0.0,54018
75-84岁,BULGARIA,1,0.0,54018
75-84岁,LITHUANIA,1,0.0,54018
75-84岁,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",1,0.0,54018
75-84岁,KE,1,0.0,54018
75-84岁,HONG KONG,1,0.0,54018
75-84岁,GUATEMALA,1,0.0,54018
75-84岁,CYPRUS,1,0.0,54018
75-84岁,DZ,1,0.0,54018
75-84岁,EL SALVADOR,1,0.0,54018
75-84岁,EGYPT,1,0.0,54018
75-84岁,EUROPEAN UNION,1,0.0,54018
75-84岁,GH,1,0.0,54018
75-84岁,BY,1,0.0,54018
75-84岁,LS,1,0.0,54018
75-84岁,KY,1,0.0,54018
75-84岁,LEBANON,1,0.0,54018
75-84岁,KW,1,0.0,54018
75-84岁,JM,1,0.0,54018
75-84岁,NI,1,0.0,54018
75-84岁,NICARAGUA,1,0.0,54018
75-84岁,PY,1,0.0,54018
75-84岁,PANAMA,1,0.0,54018
75-84岁,MA,1,0.0,54018
75-84岁,MACAU,1,0.0,54018
75-84岁,MALTA,1,0.0,54018
75-84岁,ME,1,0.0,54018
75-84岁,SZ,1,0.0,54018
75-84岁,TUNISIA,1,0.0,54018
≥85岁,US,10817,45.01,24031
≥85岁,FR,3213,13.37,24031
≥85岁,CA,1677,6.98,24031
≥85岁,GB,1447,6.02,24031
≥85岁,JP,1442,6.0,24031
≥85岁,DE,1091,4.54,24031
≥85岁,UNKNOWN,1009,4.2,24031
≥85岁,IT,375,1.56,24031
≥85岁,AU,365,1.52,24031
≥85岁,BR,345,1.44,24031
≥85岁,CH,237,0.99,24031
≥85岁,NL,221,0.92,24031
≥85岁,ES,209,0.87,24031
≥85岁,EU,138,0.57,24031
≥85岁,DK,119,0.5,24031
≥85岁,SE,112,0.47,24031
≥85岁,CO,109,0.45,24031
≥85岁,IL,94,0.39,24031
≥85岁,AR,92,0.38,24031
≥85岁,MX,63,0.26,24031
≥85岁,BE,57,0.24,24031
≥85岁,CZ,57,0.24,24031
≥85岁,FI,49,0.2,24031
≥85岁,ZA,47,0.2,24031
≥85岁,AT,41,0.17,24031
≥85岁,MEXICO,40,0.17,24031
≥85岁,PL,38,0.16,24031
≥85岁,TW,37,0.15,24031
≥85岁,PE,36,0.15,24031
≥85岁,IE,33,0.14,24031
≥85岁,CN,31,0.13,24031
≥85岁,SI,29,0.12,24031
≥85岁,GR,26,0.11,24031
≥85岁,PT,23,0.1,24031
≥85岁,PR,20,0.08,24031
≥85岁,SWEDEN,16,0.07,24031
≥85岁,NO,14,0.06,24031
≥85岁,NZ,14,0.06,24031
≥85岁,CR,14,0.06,24031
≥85岁,VENEZUELA,13,0.05,24031
≥85岁,IN,12,0.05,24031
≥85岁,KR,12,0.05,24031
≥85岁,TH,10,0.04,24031
≥85岁,HU,10,0.04,24031
≥85岁,HR,10,0.04,24031
≥85岁,SK,9,0.04,24031
≥85岁,RU,8,0.03,24031
≥85岁,VE,7,0.03,24031
≥85岁,"TAIWAN, PROVINCE OF CHINA",7,0.03,24031
≥85岁,CL,6,0.02,24031
≥85岁,EC,6,0.02,24031
≥85岁,FINLAND,6,0.02,24031
≥85岁,ECUADOR,6,0.02,24031
≥85岁,ISRAEL,5,0.02,24031
≥85岁,PERU,4,0.02,24031
≥85岁,NEW ZEALAND,4,0.02,24031
≥85岁,PA,4,0.02,24031
≥85岁,TR,4,0.02,24031
≥85岁,RO,4,0.02,24031
≥85岁,IRELAND,4,0.02,24031
≥85岁,HN,4,0.02,24031
≥85岁,LB,4,0.02,24031
≥85岁,AUSTRIA,4,0.02,24031
≥85岁,EG,3,0.01,24031
≥85岁,GT,3,0.01,24031
≥85岁,HK,3,0.01,24031
≥85岁,MY,3,0.01,24031
≥85岁,PH,3,0.01,24031
≥85岁,"KOREA, REPUBLIC OF",3,0.01,24031
≥85岁,NORWAY,3,0.01,24031
≥85岁,IS,3,0.01,24031
≥85岁,AE,2,0.01,24031
≥85岁,BY,2,0.01,24031
≥85岁,COSTA RICA,2,0.01,24031
≥85岁,CY,2,0.01,24031
≥85岁,CHILE,2,0.01,24031
≥85岁,VN,2,0.01,24031
≥85岁,SG,2,0.01,24031
≥85岁,MALAYSIA,2,0.01,24031
≥85岁,LT,2,0.01,24031
≥85岁,LV,2,0.01,24031
≥85岁,HONG KONG,1,0.0,24031
≥85岁,EE,1,0.0,24031
≥85岁,GUATEMALA,1,0.0,24031
≥85岁,ALGERIA,1,0.0,24031
≥85岁,BB,1,0.0,24031
≥85岁,A1,1,0.0,24031
≥85岁,DOMINICAN REPUBLIC,1,0.0,24031
≥85岁,DO,1,0.0,24031
≥85岁,CYPRUS,1,0.0,24031
≥85岁,BD,1,0.0,24031
≥85岁,BG,1,0.0,24031
≥85岁,LU,1,0.0,24031
≥85岁,ME,1,0.0,24031
≥85岁,JAMAICA,1,0.0,24031
≥85岁,JM,1,0.0,24031
≥85岁,IR,1,0.0,24031
≥85岁,HUNGARY,1,0.0,24031
≥85岁,PK,1,0.0,24031
≥85岁,PY,1,0.0,24031
≥85岁,SLOVAKIA (SLOVAK REPUBLIC),1,0.0,24031
≥85岁,SAUDI ARABIA,1,0.0,24031
≥85岁,POLAND,1,0.0,24031
≥85岁,SV,1,0.0,24031
≥85岁,TURKEY,1,0.0,24031
≥85岁,TT,1,0.0,24031
≥85岁,THAILAND,1,0.0,24031
≥85岁,VIET NAM,1,0.0,24031
